( calendar0001 "How may I help You? You can say add, search, view or delete an appointment. You can also say help, cancel or exit at anytime" )
( calendar0002 "Correct!" )
( calendar0003 "Great!" )
( calendar0004 "Sure!" )
( calendar0005 "Please tell me if it's a doctor's appointment, dentist's appointment, school's appointment, or a reminder" )
( calendar0006 "When do you have your doctor's appoinment?" )
( calendar0007 "When do you have your dentist's appointment?" )
( calendar0008 "When do you have your school's appointment?" )
( calendar0009 "What kind of reminder is it? You can say Meet up with a friend, Call a friend, or pick up a package" )
( calendar0010 "Hello, how can I help you today? Please say add, search, view or delete an appointment. Or you can say help, cancel or exit at anytime" )
( calendar0011 "Would you like to add an appointment, correct? Say yes to confirm, cancel to return to the main menu" )
( calendar0012 "Would you like to search an appointment, correct? Say yes to confirm, cancel to return to the main menu" )
( calendar0013 "Would you like to view an appointment, correct? Say yes to confirm, cancel to return to the main menu" )
( calendar0014 "Would you like to delete an appointment, correct? Say yes to confirm, cancel to return to the main menu" )
( calendar0015 "When would you like to set your appointment?" )
( calendar0016 "What day would you like to search for your appointment?" )
( calendar0017 "Which appointment would you like to view?" )
( calendar0018 "Which day would view your appointment?" )
( calendar0019 "What appointment should I delete for you?" )
( calendar0020 "To confirm deleting this appointment say Yes or say No to cancel" )
( calendar0021 "Your appointment has been deleted" )
( calendar0022 "Appointment successfully added" )
( calendar0023 "Your reminder has been set up" )
( calendar0024 "Would you like to add more appointments? Say yes to add, No to return to the main menu or exit to terminate the program" )
( calendar0025 "You are exiting the application. Good bye" )
( calendar0026 "Would you like me to remind you to Meed up with a friend, call a friend or pick up a package?" )
( calendar0027 "Hello, how can I help you today?" )
( calendar0028 "Hello, to start please say" )
( calendar0029 "What is the appointment. Is it a doctor's appointment, dentist's appointment, school appointment, or a reminder?" )
( calendar0030 "Please identify the type of your appointment by saying a doctor's appointment, dentist's appointment, school's appointment, or a reminder" )
